Inventarisnr.,Inv.srt,Omschrijving,Straat,Thv,X-Coord.,Y-Coord.,Deelgem.,Status,Mutdatum,Door user
FT1,FT,Fietstrommel,ESSENBURGSNGL,9,51.92293167,4.46130991,Delfshaven,A,19/05/2010,STREPE
FT10,FT,Fietstrommel,PANNEKOEKSTR,97,51.92206955,4.48883009,Centrum,A,07/06/2009,Conversie
FT100,FT,Fietstrommel,SCHIEKD,155,51.92634964,4.47619009,Noord,A,08/07/2010,BEHEER-STZ
FT101,FT,Fietstrommel,SCHIEKD,55,51.92972183,4.471380234,Noord,A,08/07/2010,BEHEER-STZ
FT102,FT,Fietstrommel,NOORDSNGL,72,51.93019867,4.478919983,Noord,A,08/07/2010,BEHEER-STZ
FT103,FT,Fietstrommel,SCHEPENSTR,48,51.93014908,4.466259956,Noord,A,08/07/2010,BEHEER-STZ
FT104,FT,Fietstrommel,SCHEPENSTR,34,51.93059921,4.466469765,Noord,A,08/07/2010,BEHEER-STZ
FT105,FT,Fietstrommel,S GRAVENDYKWAL,24,51.91860962,4.463260174,Centrum,A,08/07/2010,BEHEER-STZ
FT106,FT,Fietstrommel,K BAJONETSTR,4,51.91849136,4.464799881,Centrum,A,08/07/2010,BEHEER-STZ
FT107,FT,Fietstrommel,BREITNERSTR,115,51.91304016,4.467279911,Centrum,A,20/04/2011,OOMEBE
FT108,FT,Fietstrommel,MAASKD,146,51.91186905,4.490469933,Feijenoord,A,08/07/2010,BEHEER-STZ
FT109,FT,Fietstrommel,AKELEISTR,17,51.92136002,4.463809967,Centrum,A,08/07/2010,BEHEER-STZ
FT11,FT,Fietstrommel,KORTENAERSTR,1,51.91389084,4.478149891,Centrum,A,07/06/2009,Conversie
FT110,FT,Fietstrommel,ROCHUSSENSTR,105,51.91262817,4.466289997,Centrum,A,08/07/2010,BEHEER-STZ
FT111,FT,Fietstrommel,W DE WITHHOF,4,51.91598892,4.479259968,Centrum,A,07/06/2009,Conversie
FT112,FT,Fietstrommel,ORCHIDEESTR,4,51.94322968,4.473919868,Hillegersberg,A,07/06/2009,Conversie
FT113,FT,Fietstrommel,SAENREDAMPLN,7,51.93852997,4.422210217,Overschie,A,08/07/2010,STREPE
FT114,FT,Fietstrommel,SAENREDAMPLN,7,51.93852997,4.42222023,Overschie,A,08/07/2010,BEHEER-STZ
FT115,FT,Fietstrommel,GR FLORISSTR,22,51.92086029,4.459169865,Delfshaven,A,08/07/2010,STREPE
FT116,FT,Fietstrommel,GR FLORISSTR,100,51.91913986,4.456970215,Delfshaven,A,16/07/2010,OOMEBE
FT117,FT,Fietstrommel,GR FLORISSTR,50,51.92021942,4.458360195,Delfshaven,A,07/06/2009,Conversie
FT118,FT,Fietstrommel,BEUKELSDK,14,51.92173004,4.459070206,Delfshaven,A,08/07/2010,BEHEER-STZ
FT119,FT,Fietstrommel,C DE VRIESELN,64,51.91563034,4.45953989,Delfshaven,A,07/06/2009,Conversie
